英文单词,中文意思,难度
alcohol,n.酒精，乙醇；含酒精的饮料,
alert,a.机警的，警觉的；机灵的 vt.使…警觉,△
alien,n.外侨，外国人；外星人 a.外国的；相异的,▲
alike,a.同样的，相像的ad.一样地；同程度地,
allege,v.断言，宣称；指控,▲
alleviate,v.减轻，缓和，缓解(痛苦等),▲
alliance,n.同盟，同盟国；结盟，联姻,
allocate,v.分配，分派；拨给；划归,▲
allowance,n.补贴，津贴；零用钱；减价，折扣；允许,
alloy,n.合金  vt.将…铸成合金,▲
ally,n.同盟者，同盟国，vt.使结盟；与…有关联,△
alongside,ad.在旁边 prep.和...在一起；在...旁边,
alphabet,n.字母表；初步，入门,
alter,vt.改变，更改；改做(衣服) vi.改变，变化,▲
alternate,a.交替的，轮流的 v.(使)交替，(使)轮流,▲
alternative,n.二选一；供选择的东西；取舍 a.二选一的,△
altitude,n.高度，海拔；,
aluminum,n.(aluminium)铝,
amateur,a.&n.业余(水平)的(运动员、艺术家等),
ambassador,n.大使；特使，(派驻国际组织的)代表,△
ambiguous,a.引起歧义的，模棱两可的，含糊不清的,▲
ambition,n.对(成功、权力等)的强烈欲望，野心；雄心,
ambitious,a.有抱负的，雄心勃勃的；有野心的,
ambulance,n.救护车，救护船，救护飞机,
amend,vt.修改，修订，改进,▲
amiable,a.和蔼可亲的，友善的，亲切的,▲
amid,prep.在…中间，在…之中，被…围绕,▲
amount,"n.总数，数量；数额 v.共计；等同,接近(to)",
ample,a.充分的，富裕的；宽敞的，宽大的,▲
amplifier,n.放大器，扩大器,
amplify,vt.放大，增强；详述，详加解说,
amuse,vt.向…提供娱乐，使…消遣；引人发笑,
analogue,n.类似物；相似体；模拟,△
analogy,n.类似，相似，类比，类推,△
analyse,vt.（analyze）分析，分解,
analysis,n.(pl.analyses)分析；分解,
analytic ,a.(analytical)分析的；分解的,
ancestor,n.祖宗，祖先；原型，先驱,
anchor,n./v.锚；危难时可依靠的人或物；用锚泊船,▲
ancient,a.古代的，古老的，古式的,
anecdote,n.轶事，趣闻，短故事,▲
angle,n.角，角度 v.钓鱼；(采用各种方法）取得,
angry,a.生气的，愤怒的；(天气)风雨交加的,
anguish,n.(尤指心灵上的)极度痛苦，烦恼,▲
ankle,n.足踝，踝关节,△
anniversary,n.周年，周年纪念日,
annoy,vt.使恼怒，使生气；打扰  vi.招人讨厌,▲
annual,a.每年的，一年生的 n.年刊；一年生植物,
anonymous,a.匿名的，无名的，姓氏不明的,▲
antenna,n.(无线电或电视的)天线,
anticipate,vt.预料；期望；预先考虑；抢先；提前使用,
antique,a.古式的，过时的　n.有价值的古物，古董,▲
anxiety,n.挂念，焦虑，焦急，忧虑；渴望，热望,
apart,ad.分离，离开，隔开 a.分离的，分隔的,
apartment ,n.房间，公寓住宅,
appal,v.使惊骇，使恐怖,▲
apparatus,n.器械，器具，仪器；机构，组织,
apparent,"a.表面上的,貌似真实的；显然的,明明白白的",△
appeal,vi.呼吁，恳求；申诉 n.呼吁；申诉；吸引力,▲
appearance,n.出现，露面；外表；(在会议等)作短暂露面,
appendix,n.附录，附属物；阑尾，盲肠,
appetite,n.食欲，胃口；欲望，性欲；爱好，趣味,△
applaud,vt.鼓掌欢迎；赞同 vi.鼓掌欢迎，欢呼,▲
applause,n.鼓掌；喝彩；夸奖，赞扬,△
appliance,n.电器；器械，装置；应用，适用,
applicable,"a.可应用(实施)的；适当的,合适的",
application,n.申请，请求，申请书；应用，实施，实用性,
apply,vi.(以书面形式)申请；请求 vt.应用；实施,
appoint,vt.任命，委派；指定，约定(时间、地点等),△
appointment,"n.约会,约定；任命,委派;委任的职位",
appraisal,n.对...作出的评价；评价，鉴定，评估,▲
appreciate,vt.为...表示感激，感谢；欣赏，赏识，评价,
approach,"v.靠近，接近n.接近；途径，入门;方式,方法",
appropriate,"a.适当的,恰当的,特有的 vt.拨给,挪用,盗用",△
approval,n.批准，通过；赞成，同意,△
approve,v.(of)赞成，赞许，同意；批准，审议，通过,
approximate,a.近似的 vi.(to)接近,▲
apt,a.恰当的，适当的；易于…的，有…倾向的,
arbitrary,a.任意的，任性的，主观的；专断的，武断的,▲
arch,n.拱门，桥拱洞 v.拱起，(使)变成弓形,△
architect,n.建筑师；设计师；缔造者；创造者,
architecture,n.建筑，建筑学；建筑式样或风格，建筑物,
argue,vi.辩论，争论 vt.辩论，论证；说服，劝说,
argument,n.争论(吵)，辩论；理由;论证,
arithmetic,n.算术，四则运算,△
arouse,vt.唤醒，叫醒；唤起，激起,
arrange,v.安排，筹划；整理，使有条理，排列，布置,
array,n.大量；排列；盛装 v.列阵；装扮；排列,
arrest,n.逮捕，扣留 vt.逮捕，扣留；阻止；吸引,
arrogant,a.傲慢的，自大的,▲
arrow,n.箭，矢，箭状物；箭头符号,
artery,n.动脉；干线，要道,△
articulate,a.善于表达的；有关节相连的 v.清楚地讲话,▲
artificial,a.人工的，人造的，人为的；虚伪的，做作的,
artistic,a.艺术(家)的，美术(家)的；善于艺术创作的,
ascend,vi.渐渐上升，升高vt.攀登，登上,△
ascertain,vt.确定，查明，弄清,
ashamed,a.惭愧的，羞耻的，害臊的,
ashore,ad.上岸；在岸上，向岸上,
aspect,"n.样子, 外表, 面貌, (问题等的)方面",△
aspire,vi.(to，after)渴望，追求，有志于,▲
assassinate,vt.暗杀，行刺；中伤,▲
assault,v.猛烈地攻击，袭击 n.突然而猛烈的攻击,▲
assemble,vt.集合，召集；装配；收集 vi.集合，聚集,
assembly,n.集合；会议；装配；(美)洲议会的众议院,
assert,"vt.断言,宣称；坚持；主张（权利、权威等）",▲
assess,vt.(为征税)评估(财产、收入)；征税；评价,▲
asset,"n.(pl.)资产,财产；有价值的物品；天赋",▲
assign,vt.派给，分配；选定，指定(时间、地点等),△
assignment,n.分配，指派；(指定的)作业，(分派的)任务,
assimilate,vt.吸收，消化；使同化 vi.被吸收；被同化,▲
assist,vt.协助，帮助，促进 vi.帮忙，参加,
assistance,n.协作; 援助; 帮助,
assistant,a.帮助的，辅助的 n.助手，助教；辅助物,
associate,vt.联想；交往；联合；n.伙伴；a.联合的,
association,n.联盟，协会，社团；交往，联合；联想,△
assume,vt.假装；假定，设想；承担；呈现，采取,
assumption,n.假定，设想；采取；承担；推测；假装,
assurance,"n.保证,担保；确信,断言；信心,信念",
assure,vt.使确信，使放心(of)；向…保证,△
astonish,vt.使惊讶，使吃惊,
astronaut,n.太空人，太空旅行者,
astronomy,n. 天文学,
athlete,n.运动员，体育家，身强力壮的人,△
atmosphere,n.大气(层)；空气；气氛，环境；大气压,
atom,n.原子；微粒，微量,
attach,v.系，贴，装，连接；使成为一部分；使依恋,
attain,vt.达到；完成；获得 vi.达到,
attempt,vt.企图，试图 n.努力，尝试，企图,
attendance,n.出席；出席人数；护理，照料,
attendant,n.陪从；出席人；服务员 a.出席的；伴随的,△
attitude,"n.态度，看法(to, toward, about)；姿势",
attorney,n.(业务或法律事务上的)代理人；辩护律师,
attract,"vt.引起的注意(或兴趣等),吸引；引起；激起",
attractive,a.吸引人的，引人注意的；漂亮的，迷人的,
attribute,"v.(to)归因于,归属于 n.属性,品质,特征",△
auction,n.／vt.拍卖,▲
audio,n./a.音频(响)(的)；声音(的)，听觉(的),
audit,v.审计；查帐；核对；旁听,▲
auditorium,n.观众席，听众席；会堂，礼堂,▲
augment,vt.(使)增大，增加，增长，扩张,▲
aural,a.听觉的，听力的,△
authentic,a.真的，真正的；可靠的，可信的，有根据的,▲
authority,n.权力，权威；权威人士；(pl.)官方，当局,
auto,n.(automobile)(口语)汽车,
automatic,a.自动(装置)的；无意识的；n.自动机械,
automation,n.自动，自动化，自动操作,
autonomy,n.自治，自治权；   【a.】autonomous,▲
auxiliary,a.辅助的，支援的 n.辅助者，辅助设备,
avail,v.有用，有利于；n.作用,△
available,a.(用于物)可利用的；可见到的，接受采访的,
avenue,n.林荫路，大街；(比喻)途径，渠道，方法,△
average,"n.平均,平均数 a.平均的；普通的 v.平均",
avert,v.防止，避免 ；转移(目光、注意力等),▲
aviation,n.航空，航空学；飞机制造业,
avoid,vt.防止，避免；逃避，避开,
await,vt.等候，期待；(事情等)降临于,
award,"vt.授予,给予；判定 n.奖,奖金；仲裁",▲
aware,a.知道的，意识到的；,
awe,n.敬畏，惊惧vt.使敬畏，使惊惧,▲
awful,a.极度的，极坏的；威严的，可怕的,△
awkward,a.笨拙的；尴尬的；使用不便的；难处理的,▲
axe,n.（ax）斧子；削减 vt.用斧砍,
axis,n.轴，轴线，中心线；坐标轴，基准线,
bachelor,n.单身汉;(亦作B-)学士(学位),
background,"n.背景,经历；幕后",
backward,"a.向后的,倒行的;迟钝的 ad.向后,朝反方向",
bacon,"n.咸猪肉,熏猪肉",△
bacterium,n.(pl.)bacteria 细菌,
badge,"n.徽章,像章；标记；象征；记号",
badminton   ,n.羽毛球,△
baggage,n.行李,
bait,n.饵，引诱物 vt.用饵引诱；折磨，奚落,△
balcony,n.阳台；(电影院等的)楼厅，楼座,△
bald,"a.秃的,秃头的",▲
ballet,n.芭蕾舞，芭蕾舞剧；芭蕾舞团,
balloon,"n.气球,飞船；a.气球状的 v.乘坐气球；膨胀",
ballot,n.(不记名)投票；投票总数；投票权 vi.投票,▲
ban,"v.取缔,查禁;(from)禁止 n.禁止,禁令",△
band,"n.条,带;乐队;波段;一群,一伙 v.缚,绑扎",
bandage,n.绷带 v.用绷带扎缚,
bang,"n.砰砰的声音;猛击 v.砰地关上,猛撞,猛击",△
bankrupt,a.破产的；彻底缺乏的 vt.使破产n.破产者,
banner,n.旗(帜),▲
banquet,n.(正式的)宴会 vi.参加宴会 vt.宴情,△
bar,"n.条,杆,闩;酒吧;栅,障碍(物) v.闩上,阻拦",
barbecue,n.烤肉；烤肉用的台架 vt.炙烤(肉等) ,▲
barber,n.理发师,▲
bare,"a.赤裸的,空的;稀少的,仅有的 v.露出,暴露",
barely,"ad.赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有",
bargain,"n.廉价货;交易,契约,合同 v.议价,成交",▲
bark,vi.(狗等)吠，叫n.吠声，叫声；树皮,
barn,"n.谷仓,仓库",▲
barrel,"n.桶;枪管,炮管",△
barren,a.贫瘠的；不育的；(植物)不结果的；无用的,△
barrier,"n.栅栏,屏障;障碍(物)",△
basement,"n.建筑物的底部,地下室,地窖",
basis,"n.基础,根据",
bat,"n.球拍,球棒,短棒;蝙蝠",
batch,"n.一批,一组,一群",▲
battery,n.电池(组)；(器具等的)一组，一套；炮兵连,
bay,"n.海湾,(港)湾",△
beam,"n.(横)梁,桁条;(光线的)束,柱 v.微笑",▲
bean,"n.豆;菜豆,蚕豆",▲
bearing,n.轴承；忍受；关系，影响；举止；方向,
beast,"n.兽,牲畜;凶残的人,举止粗鲁的人",
beforehand  ,"ad.预先,事先",△
behalf,n.利益,▲
behave,"v.举止,举动,表现;运转,开动",
behavior,"n.(behaviour)行为,举止；(机器等)运转情况",
being,"n.生物，生命,存在；",
belief,n.信任，相信，信念；信仰，信条,
belly,n.肚子，腹部；(像肚子一样)鼓起的部分，膛,▲
beloved,"a./n.受爱戴的,敬爱的;爱人,被心爱的人",△
beneath,"prep.在…下边,在…之下 ad.在下方",△
beneficial,"a.(to)有利的,有益的；有使用权的s",△
benefit,"n.利益,好处,恩惠 v.有益于;(from,by)受益",
benign,"a.(病)良性的,(气候)良好的,仁慈的,和蔼的",△
betray,"v.背叛,出卖;暴露,流露,泄露",
beverage,n.(水，酒等之外的)饮料,▲
beware,"v.当心,谨防",
bewilder,"v.使迷惑,难住",△
bias,"n./v.(使有)偏见,偏心,偏袒",▲
Bible,n.圣经,
bibliography,n.(有关某一专题的)书目；参考书目,△
bid,"v.祝愿;命令,吩咐;报价,投标 n.出众,投标",
bin,n.(贮藏食物等用的)箱子,▲
bind,"v.捆,绑,包括,束缚",
biography  ,n.传记；传记文学,△
bizarre,adj.异乎寻常的，稀奇古怪的,▲
blackmail,n.讹诈，敲诈，勒索；胁迫，恫吓  ,△
blade,n.刀刃，刀片；桨叶；草叶，叶片,
blank,"a.空白的,空着的;失色的 n.空白;表格",
blanket,n.毯子(可数)；厚厚一层(可数) vt.铺上一层,△
blast,n.一阵(风);爆炸冲击波;管乐器声 v.爆炸,△
blaze,"n.火焰;火光;闪光,光辉  v.燃烧,冒火焰",△
bleak,"a.荒凉的;冷酷的;没有希望的;寒冷的,阴冷的",▲
bleed,"v.出血,流血",
blend,"n.混合(物) v.混和,混杂",▲
block,"n.大块木（石）料;街区;障碍物 v.阻塞,拦阻",
bloody,"a.流血的,血腥的",
bloom,n.花(朵);开花(期) v.开花,▲
blossom,n.花(簇)；花期；青春 vi.开花；展开；繁荣,▲
blouse,n.女衬衣，短上衣，宽阔的罩衫,▲
blueprint,n.蓝图，设计图，计划 vt.制成蓝图，计划,
blunder,v.(因无知等而)犯大错;踉踉跄跄地走 n.大错,▲
blunt,a.率直的;钝的 v.(使)钝;(使)迟钝,△
blur,n.模糊不清的事物；污点 vt.使模糊；玷污,▲
blush,v./n.脸红,▲
boast,"v.(of,about)自夸,夸耀 n.自夸,大话",▲
bold,"a.大胆的,勇敢的;冒失的;黑体的,粗体的",
bolt,"n.螺栓,(门,窗的)插销 v.闩(门),关窗,拴住",▲
bond,"n.结合(物),粘结(剂),联结;公债,债券,契约",▲
bonus,"n.奖金,红利",
boom,"v.迅速发展,兴旺;发出隆隆声",▲
boost,n./ vt.提升；增加；抬高（价格）；支援；,▲
boot,n.靴；(汽车后部的)行李箱；,
booth,"n.电话亭,货摊",▲
border,"n.边界,国界;边(沿) v.交界,与…接壤;接近",
bore,"v.钻(孔),挖(洞);烦扰 n.讨厌的人,麻烦事",
bosom,"n.胸,胸部; 胸怀; 内心；a.亲密的；v.怀抱, 隐匿",▲
bounce,"n./vi.(球)弹起,弹回；弹起,跳起；n.弹力",△
bound,v./n.跳(跃) a.被束缚的，一定的；n.界限,△
boundary,"n.分界线,边界",
bow,"v./n.鞠躬,点头 n.弓(形);蝴蝶结",
bowel,n.肠；［pl.］内部，深处,▲
bowling,n.保龄球运动,
boycott,"n./v.(联合)抵制,拒绝参与",▲
brace,"v.使防备;支撑;使(手,足,肩等)绷紧 n.托架",▲
bracket,n.(方)括号，墙上凸出的托架,▲
brake,"v./n.制动(器),闸,刹车",
brand,"n.商标,标记,牌子 v.使铭记;打火印,打烙印",
brandy,n.白兰地酒,
brass,"n.黄铜,铜器",▲
breach,n.违反，不履行；破裂 vt.冲破，攻破,▲
breadth,"n.宽度,幅",
breakdown,n.崩溃；衰竭；(关系、计划或讨论等的)中断,
breast,"n.胸膛,乳房",
breed,"v.(使)繁殖,生殖;产生;教养,抚养 n.品种",
breeze,n.微风；轻而易举的事 vi.来去匆匆，急速走,△
brick,n.砖块，砖；v.用砖围砌，用砖填补,
bride,n.新娘,
brief,"a.简短的,简洁的 v.简短介绍,简要汇报",
briefcase,n.手提箱，公事皮包,△
brilliant,"a.光辉的,灿烂的;卓越的,有才华的",
brim,"n.边缘,帽沿",▲
brisk,a.轻快的;生气勃勃的;兴隆的,▲
brittle,a.易碎的；脆弱的；冷淡的；(声音)尖利的,▲
brochure,n.小册子,
bronze,n.青铜；青铜色，古铜色；青铜制品，铜牌,
brook,n.小溪；vt.容忍,▲
brow,n.眉(毛);额,△
browse,vi.随意翻阅，浏览；(牛、羊等)吃草，放牧,
bruise,n.青肿，挫伤；伤痕vt.打青；挫伤,▲
brutal,a.残忍的;严峻的;严酷的,
bubble,"n.泡,水泡,气泡 v.冒泡,起泡,沸腾",△
bud,"n.芽,花苞 v.发芽,含苞欲放",▲
budget,n.预算 v.做预算,
buffet,"n.自助餐, 餐具柜, 小卖部；v.& n. 殴打, 打击",▲
bug,n.臭虫;小毛病;窃听器 v.窃听,
bulb  ," n.灯泡, 鳞茎；球状物, 肿块",▲
bulk,"n.体积,容积;主体,大批,大量,大块",▲
bulletin,"n.公报,公告,告示",
bully,"n.恃强欺弱者, 小流氓；vt.威胁, 欺侮；a.好的",▲
bump,"v.(against,into)碰;颠簸着前进 n.碰撞",△
bunch,"n.(一)簇,束,捆,串",
bundle,"n.捆,包,束",▲
burden,n.担子，重担，负担 vt.给予负担或麻烦,
bureau,"n.署,局,司,处",
bureaucracy,n.官僚主义，官僚机构；(非民选的)委任官员,△
burglar,"n.(入室行窃的)盗贼, 夜贼",▲
bypass,n.(by-pass)旁道；vt.绕过,
cab,n.出租车，出租马车；驾驶室 vi.乘出租马车,▲
cabbage,"n.洋白菜,卷心菜",
cabin,"n.客舱,机舱;小(木)屋",△
cabinet,n.内阁，内阁会议；(带玻璃门存物品的)橱柜,△
cable,"n.电报;电缆;缆,索,钢丝绳 v.拍电报",
calcium,n.钙(化学符号Ca),
calculate,"v.计算,推算;计划,打算",
calorie,n.卡路里(食物所产生的热量或能量单位),△
campaign,n.战役;运动,
campus,n.(大学)校园,
cancel,"v.取消,把…作废;删去,划掉",
cancer,n.癌,
candidate  ,"n.候选人,候补者;报考者",△
cannon,"n.大炮,火炮",
canteen,"n.(工厂、办公室等)食堂或小卖部；饭盒, 水壶",▲
canvas,"n.帆布；帆布画布，(帆布)油画；v.兜揽, 游说",▲
capable,"a.有本领的,有能力的;(of)可以…的,能…的",
capacity,"n.容量,容积;能量,能力;接受力",
cape      ,n.海角，岬；披肩，短披风,▲
capitalism  ,n.资本主义,△
capsule,n.胶囊;太空舱,
captive,"n.俘虏 a.被俘虏的,被监禁的",
capture,"v./n.捕获,俘虏;夺得,攻占",
carbohydrate,n.碳水化合物; 糖类；(plural)淀粉质或糖类,△
cardinal,n.(天主教的)红衣主教 a.首要的，基本的,△
caress,vt.／n.爱抚，抚摸；接吻,▲
cargo,"n.船货,货物",▲
carpenter,"n.木工,木匠",▲
carriage,n.(四轮)马车;(火车)客车厢,
carrier,n.搬运人;载体;航空母舰,
carve,v.(雕)刻,△
cashier,"n.收银员,出纳员",
cassette,n.盒子;盒式磁带,△
cast,"v.投,扔,掷,抛；铸造；投票；n.演员表",
casual,"a.偶然的,碰巧的;临时的,非正式的",
casualty,n.伤亡人员；受害人；损失的东西；急诊室,▲
catalog,n.（catalogue）目录(册) v.编目(录),
catastrophe,n.大灾难；(悲剧)结局,△
category,n.种类，部属，类目；范畴，类型,
cater      ,"vi.(for/to)满足,迎合;(for)提供饮食及服务",△
cathedral,n.大教堂,
Catholic,a.天主教的 n.天主教徒,△
caution,n.谨慎；注意(事项)，警告vt.劝…小心,
cautious,"a.(of)小心的,谨慎的",
cease,"v./n.停止,中止",
celebrity,n.名人，名流；著名，名声，名望,▲
cell,n.细胞;小房间;蜂房;电池,
cellar,"n.地窑,地下室",
cement,"n.水泥;胶泥,胶接剂 v.胶合;巩固,加强",▲
cemetery,n.坟墓，墓地，坟场,▲
census,n.人口普查(调查),▲
centigrade,n./a.摄氏温度计(的);百分度(的),
centimetre,n.(centimeter)厘米,
cereal,n.加工而成的谷类食物；谷类植物，谷物,▲
ceremony,"n.典礼,仪式;礼节,礼仪",▲
certificate,"n.证(明)书,执照",
certify,vt.证明，证实；发证书(或执照)给,
challenge,"n.挑战(书);艰巨任务,难题 v.向…挑战",
champagne ,n.香槟酒；微黄色,△
champion,"n.冠军,得胜者;拥护者,斗士",
chancellor  ,n.(英)大臣；法官；(德、奥)总理；大学校长,▲
channel,"n.海峡,水道;信道,;路线,途径",
chaos,"n.混乱,紊乱；混沌",▲
chap,n./v.(皮肤)变粗糙；发痛；n.小伙子,▲
character,"n.性格,品质,特性;人物,角色;字符,(汉)字",
characteristic,"a.(of)特有的,独特的 n.特征,特性",
characterize,v.(characterise)表示…的特性;描述…特性,
charity,"n.慈善(团体),仁慈,施舍",▲
charm,"n.吸引力,魅力 v.迷人,(使)陶醉;施魔法于",
chart,n.图表；航海图；航行图 vt.绘图表，制图表,△
charter,"v.租船,租车,租用飞机；n.宪章，特许状",▲
chase,"v./n.追逐,追求",△
chef,n.(餐馆等的)厨师长，厨师,▲
cherish,vt.抱有，怀有(希望等)；爱护，抚育；珍爱,
cherry,n.樱桃(树),
chess,n.棋，国际象棋,
chew,v.咀嚼;思量,▲
chill,"n.寒冷,寒气,寒战 v.使寒冷",△
chin,"n.下巴,颏；不气馁，不灰心",▲
chip,"n.切屑,碎片;(土豆等的)薄片;集成电路块",
choke,"v.窒息,噎住;闷塞,堵塞,阻塞",▲
chop,"v.砍,劈,斩 n.排骨,肉块",△
chorus,"n.合唱队;合唱 v.异口同声地说,随声附和",△
chronic,"a.(疾病)慢性的;积习难改的;严重的,坏的",
circuit,"n.环行,周线,巡回;电路,线路",△
circular,"a.圆(形)的,环形的;循环的 n.传单,通报",
circulate,"v.(使)循环,(使)流通",
circumstances,"n.情况, 形势, 环境",
circus,"n.马戏团,杂技团;马戏场,杂技场",▲
cite,"v.引用,引证,举(例)",△
civil,"a.公民的,市民的;民间的;民用的;有礼貌的",
civilian,n.平民 a.平民的;民用的,
civilization,"n.(=civilisation)文明,文化",
civilize,"v.(=civilise)使文明,开化",
claim,v.要求;声称;索赔 n.要求;断言;索赔;权利,▲
clap,"v.拍手,拍,轻拍 n.拍(手),掌声,霹雳声",▲
clarify,"v.澄清,阐明",
clarity,"n.清晰,明晰",▲
clash,v./n.碰撞 n.碰撞声,
clasp,"n.扣子,钩子;握手 v.扣住,钩住;紧握,紧抱",▲
classic,"n.(pl.)杰作,名著 a.第一流的,不朽的",
classical,"a.经典的,古典(文学)的",
classification,"n.分类,分级",△
classify,"v.分类,分等(级)",
clause,"n.(正式文件或法律文件的)条款;从句,分句",▲
claw,"n.爪,脚爪",▲
clay,"n.粘土,泥土；肉体，人体",▲
clergy,n.牧师，神职人员,▲
click,n.滴答声；vi.发出滴答声,
client,n.律师等的当事人，委托人；商店的顾客,
cliff,n.悬崖;峭壁,▲
climate,"n.气候;风气,社会思潮",
climax,"n.顶点,高潮",
cling,v.(to)粘住;依附;坚持,▲
clip,"v.剪,修剪;钳,夹住 n.夹,钳;回形针",△
cloak,n.斗蓬，披风；掩饰，幌子vt.掩盖，掩饰,▲
clockwise,a.顺时针方向,
clone,n.无性繁殖，克隆；复制品v.克隆,
closet,n.(壁)橱a.私下的vt.把…引进密室会谈,△
clue,"n.线索,暗示",▲
clumsy,"a.笨拙的,愚笨的",▲
cluster,"n.丛,群,串 v.群集,丛生",▲
clutch,"v.抓住,攫住,掌握 n.离合器",△
coach,n.长途公共汽车；教练 vt.训练，指导，培训,
coalition,n.结合体，同盟；结合，联合,▲
coarse,"a.粗糙的,粗劣的;粗鲁的,粗俗的",▲
cocaine,n.可卡因，古柯碱（用作局部麻醉剂）,△
code,"n.代码,代号,密码;法典,法规,规划",
cognitive,a.认知的，认识能力的,▲
coherent ,"a.粘着的,粘附的",△
cohesive,a.粘合性的，有结合力的,▲
coil,"v.卷,盘绕 n.(一)卷,(一)圈;线圈,绕组",▲
coincide,vi.同时发生；巧合；一致；相符；,
