单词,释义
bias,n.偏见；成见本身就是词根倾斜的意思
biotech,n.生物工艺学
blame,v.谴责；归咎
blond,adj.金发的
board,n.木板n.委员会；理事会；董事会
boundary,n.界线；边界bound(跳跃、蹦跶)+ary(后缀)=boundary-边界、鸿沟（需跳过的沟壑）
burden,n.负荷；负担burd(处女）50岁了还是处女是一个负担
candidate,"n.候选人, 投考者can能+did做+ate----能做的人都是后选人或者“can”＝能够；“di”＝递交；“date”＝日期，联起来，在某一天能够递交申请，所以是候选人"
capital ," n. 首都n.资金,资本首都是资本聚集的地方"
catastrophe,"n.大灾难, 大祸cata+strophe转→转下去→灾难临头"
category,"n.种类, 部属; 类目n.范畴"
centralize,"v.集聚, 集中"
challenge,n.挑战
characteristic,adj.表示特性的；典型的；特有的
charge,v.要价；索价；v.责任；管理；照料in charge of为…负责
circumstance,"n.环境, 详情, 境况circum(周围)+stance(姿态)-----周围的姿态,显现情况"
citizen,"n.市民, 公民citizenship公民身份"
claim,v.要求，认领，索赔v.声言；自称；主张
clinical,adj.临床的；临诊的adj.冷静的；相当客观的临床的东西都需要客观冷静地分析
clip,n.小夹子；回形针
cloud,"n.云, 烟云n.朦胧"
cluster,n.一串；一束；一群n.簇
coastal,adj.海岸的
coincidence,n.巧合；巧合的事n.一致；符合co（共同）+incident(事件）共同发生的事件，巧合
combine,v.联结；结合com(共同)+ bi(双)+ ne把两个事物放在一起
commerce,n.商业
commodity,"n. 货场；商品；物品com(together 一起)+ mod(模式)+ ity(名词后缀),按照一个模式做出来的商品"
communicate,v. 联络；通信
community,n.社区n.大众
comparative,adj. 比较的来自动词compare比较
compatibility,n. 适合， 适应（性）n.互换性； 通用性
compensation,n.补偿，赔偿com(共同）+pens（钱）+ation名词后缀---共同给钱，补偿
complaint,v.申诉；控告
complexity,n.复杂性n.联合体
complicate,"v.变复杂加拿大歌手艾微尔的一首歌complicated,就是什么把爱变复杂了"
comprehensive,adj.全面的；广泛的
conceive,"v.构思, 以为, 持有v.怀孕, 考虑, 设想con(共同）+ceive(抓住）共同抓住，持有，构思"
concern,"v 关于；对…有关系be concerned with 关心,挂念 "
concise,"adj.简单的,简练的con(共同)+cise(切),一起切, 很简单,简洁"
concrete,"adj.具体的n.混凝土con(共同的)+crete(生产,制造)-----生产制造具体的东西"
conduct,"n.行为, 操行v.处理；经营；引导；实施con(共同)+duct(导入 )办法实施"
conflict,"n.斗争, 冲突v.抵触, 冲突"
conform,"v.符合, 相似adj 一致的, 顺从的con(共同)+form(形式 )共同的形式, 一致的"
confront," v. 使面临, 对抗con'肯' front, 肯面对, 对抗"
consequence, n. 结局；结果
conservation,n. 保护；保存来自动词conserve
console,"v. 安慰, 藉慰 n.控制台con-的意思是“一起”,sole是“单独的”,连起来,和本来单独的人在一起,就是安慰"
constant,adj.不变的；固定的
constrain,v. 强使；强逼con(共同)+strain(拉紧) 把不愿意的人拉在一起， 强迫
consult,v. 参考；查阅；咨询con+sult(有了结果)----咨询问题有了结果
consultancy,n.顾问consult的名词形式
consumer,"n.消费者con+sume(拿取)+er----从中拿取, 消费"
contact lens,n. 隐形眼镜
contemplate,v. 注视；凝视v. 期望con+templ(庙)+ate 像庙中人一样深思
content,"n.内容, 容量adj.满足的, 满意的be content with 对…感到满意, 写作中可于satisfy替换"
contradict,"v.反驳；否认contra(相反)+dict(说) 向相反的说, 反驳"
contrary,adj.相反的contra+ary---相反的
contribute,v. 捐献；贡献con(共同)+tribute(供品)-----共捐献供品
controversy,"n.论争, 辩论, 论战contro(相对)+vers(转)+y---- 争论"
convenience,"n.适合；方便来自于形容词convenient, 类似的还different——difference，important——importance，  
silent——silence,absent——absence，distant——distance,patient——patience"
conventional,adj 传统的，习惯的
converse,"adj. 相反的, 颠倒的v.谈话, 交谈, 认识来自于词根verse(相反的)"
convince,"v. 使确信, 使信服con+vince（战胜，说服） 使确信"
coordinate,n.同等者，同等物  坐标（用复数）vt. 调整，整理
corporate,adj. 社团的，全体的
correlate,vt.叙述，使联系cor（共同）+relate（联系）---使联系
count,"1 v .数, 计算count on指望"
creature,n. 人，动物， 创造物creat创造
crime,"n. 犯罪，犯罪行为crime源自拉丁语词根cernere(= judge, decide)"
critical,adj. 评论的，鉴定的，批评的，危急的
culture,n. 文化，文明
curative,"adj. 医疗的n. 药品cur关心?医治,-ative…的"
curriculum,"n. 课程词来源于拉丁语词根currere,意指""跑道"".根据这一词源,最为常见的课程定义是指""学习的进程"",即学生学习知识,增长经验的过程"
cycle,n. 周期，循环，自行车vi. 循环，轮转，骑自行车
debate,v. 争论，辩论n. 争论，辩论de（强调）+ bat（打）+e名词“辩论”
decade,n. 十年，十
deceptive,adj. 欺骗性的de坏+cept+ive→拿坏的东西来→欺骗性的
decline,vi. 下倾，下降，下垂v.拒绝， 衰落de(向下）+cline(倾斜） 向下倾斜
deduce,"v.演绎,推理de(向下）+duce(导入） 演绎，推理"
deem,"v.想, 认为, 视为; 相信似乎(seem)认为(deem)该相信(deem)"
defeat,n. 击败，战胜，失败vt. 击败，战胜，挫折de（向下）+feat（功绩）---向下的功绩---失败
defect,"n.过失，缺点de(坏)+fect(做,制作)→做坏了→缺陷"
deficiency,n. 缺乏， 不足
definition,n. 定义，解说，精确度，清晰度来自于动词define定义
defy,vt 不服从，藐视，挑衅，违抗n. 挑战de（反）+fy
delegate,"n.代表v.委派de-(from)+leg(=choose)----“从……选出来的, 委派"
delicate,adj. 精巧的，精致的，脆弱的，微妙的，棘手的，灵敏的
demonstrate,vt. 示范，证明，论证vi 示范demo样带，用样带演示
deportation,"n. 移送，充军，放逐来自于词根port=搬 deport--驱逐， export, import"
depression,n. 沮丧，消沉，低气压，低压de(向下）+press（压）---向下压---沮丧的
deprive,
desert,n. 沙漠，应得的惩罚，功过adj. 沙漠的，荒凉的dessert甜点
desirable,adj. 值得要的，合意的，悦人心意的
desperately,"adv.拼命地, 失望地de(向下）+sper（精神）+ate----精神向下----失望的"
destructive,adj. 破坏性的，
detain,"v.拘留，留住，阻止de(向下)+tain(拿)---- 向下拿, 不让拿, 阻止"
determine,v. 决定，确定，测定
digest,"n. 分类，摘要vi. 消化dig(挖)+est( 最)----最深的挖掘, 进行分类, 消化"
dimension,n. 尺寸，尺度
diminish,v. （使）减少，（使）变小di（使）+min（小）+ish----使变小
diplomatic,adj.外交的，老练的
discipline,纪律，学科v. 训练disc+ip+line光碟，ip上网，line电话，不干正事，确实需要有些纪律了
disease,n. 疾病，弊病
dismiss,vt. 解散，下课，开除，解职vi.解散
disservice,n. 伤害，虐待，dis（不，相反）+service(服务）不好好服务，虐待
distinction,n. 区别，差别，级别，特性
distinguish,1v.区别，辨别.
distress,"n. 悲痛，不幸， 危难，忧伤v. 使悲痛，使忧伤di（弟）+stress（压力）----兄弟承受巨大失败压力,内心十分“痛苦”"
divorce,n. 离婚，脱离v. 使离婚，与…脱离di+vorce=vert转→从〔丈夫身边〕转开→离婚
domestic,adj. 家庭的，国内的，驯服的，与人共处的记住反义词是foreign
dominate,v. 支配，占优势domin(支配)+ate动词后缀→支配;占优势
dormant,adj. 静止的，隐匿的dorm宿舍+ant蚂蚁，蚂蚁被你踩死在宿舍，长眠于此
downturn,n. 低迷时期
drag,v. 拖，拖曳，缓慢而费力地行动n.  拖拉
dramatic,adj. 戏剧性的，生动的来自于名词drama戏剧
drawback,n. 缺点，障碍，退税draw(拖拉）+back（后面）朝后面拉，是缺点
dubious,adj. 可疑的，不确定的
dully,adv. 钝地，不清楚地，迟钝地我pull了你一下，你就变dull了
duplicate,adj. 复制的，副的，两重的，完全相同的n. 复制品，副本du(双)+plic(重叠)+ate -----复制的
dynamic,adj. 动力的，动力学的，动态的dynam（力）+ic-----力学的
eager,adj. 热心于，渴望着华南虎事件让全国人都eager to see tiger
ease,n. 安逸，安心，悠闲，不费力vt. 减轻，放松easy的事情很ease
effective,adj. 有效的，有生力量，给人深刻印象的，来自于动词effect
ego,"n. 自我，自负，利己主义一狗'在一条狗的眼里, 只有他自己"
element,n. 要素，元素，成分，元件，自然环境有一个服装品牌叫element
eliminate,vt.  排除，消除v. 除去e+limin(门槛)+ate->扔出门槛->除去
elite,"n. [集合名词]精华，精锐，中坚分子e+lite(light的变体)→ 精英人才,到哪都会发光"
embarrass,vt. 阻碍，麻烦，使困窘，使局促不安em+barrass 套子----进入套子-----难堪
embrace,vt. 拥抱，包含，收买，信奉vi. 拥抱，
emotion,"n. 情绪，情感，感情emotion本身就表示词跟move, 我们的情感就是在不段的变化当中的"
emphasize,vt. 强调，着重v. 强调
enhance,vt. 提高，增强v. 提高
enormous,"adj. 巨大的，庞大的，凶暴的e(超出)+norm(标准)+ous( 形容词后缀)---超出标准的,巨大的"
enterprise,"n. 企业，事业，计划，事业心进取心enter(进入)+prise(奖赏)---获得奖赏, 利润是企业的原则"
enthusiasm,n. 狂热，热心，积极性
entity,n. 实体
envious,adj. 嫉妒的，羡慕的动词envy
equate,vt. 使相等， [数]视为平等vi. 等同
equipe,n. 〈法〉运动队（或比赛对）及其装备
essential,adj. 本质的，实质的，基本的，提炼的本质，实质，要素，要点
establish,vt. 建立，设立，安置，确定v. 建立
estimate,v. 估计，估价，评估n. 估计，估价，评估
evaluate,"估计，估价，求…的值n. 评价e+valu(价值)+ ate-----评价价值, 评估"
evidence,n. 明显，显著，明白，迹象，根据，证物
evil,adj. 邪恶的，不幸的，有害的，带来麻烦的n. 邪恶，罪恶，不幸颠倒过来就是live-> 颠倒的生活是邪恶的
exaggerate,v. 夸大，夸张
exception,n. 除外，例外，反对，异议
excessive,adj. 过多的，过分的，额外的ex（超出，外部）+cess(走）+ive走过了，超出
exclusively,adv. 排外地，专有地
excrete,"vt. 排泄，分泌ex(向外)+crete(生长)---- 向外生长, 排出"
executive,"adj. 实行的，执行的，行政的n. 执行者，经理主管人员exe(可执行文件)+cut+ive, 执行(exe)官的任务是——如果你不听话，就把你cut掉"
exert,"vt. 尽（力），施加（压力等），努力发挥，竭尽全力，尽ex(向外)+ert(动)-----向外动, 努力, 发挥"
exhaust,"v. 用尽，耗尽，排气，n. 排气，排气装置一个早死的他', 用尽力气了, 所以死的早"
exotic,"adj.外(国)来的, 外国产[制造]的exo（外部的）+tic→从外面来的"
expenditure,"n. 支出，花费ex(向外)+pend(钱)+iture----向外的钱, 花了, 花费"
explode,vt. 使爆炸vi. 爆炸，破除，推翻，激发
expose,"vt. 使暴露，受到，使曝光v.揭露ex(向外)+pose(放)----放在外面, 暴露"
fairly,adv. 公正地，正当地，公平地，清楚地
fatigue,"n.疲乏，疲劳，累活，[军]杂役vt.使疲劳，使心智衰弱由于太胖了,我提一会儿东西就得搁下休息休息,---身体太弱,容易疲劳"
feature,n.特征，容貌，特色，特写是…特色，特写，放映
feedback,n. 反馈，反应feed(喂）+back（回来）---喂回来，反馈
feminine,adj.女人（似）的，娇柔的，阴性的，女性的femin(女性的）+ine（倾向）---有女性倾向的，类似的词考过很多
fertile,adj. 肥沃的，富饶的，能繁殖的佛塔'-----建在肥沃的土地上
fiber,"n. =fibre 光纤fiber表“纤维”,所以fabricate是“编造,捏造”; "
fiction,n. 虚构，编造，小说fict（制造）+tion---小说都是制造虚构出来的
figure out,v. 合计为，计算出，解决，断定
financial,aadj. 财政的，金融的
flexible,"adj.易弯的, 挠性的, 有弹性的adj.灵活的"
fluctuation,n. 波动的，起伏flu流动， ct夹在两个u中间，说明流动不平稳，有起伏
focus,n. 焦点，焦距，（兴趣活动等的）中心，vi. 聚焦，注视
folk,n.人们最近六级爱出的一个表示人类的一个词
foster,vt.养育，抚育，培养，鼓励n.养育者，鼓励者foster( 福司特公司)养育了很多明星
fragile,adj. 易碎的，脆的
fruitful,"adj. 多产的，富有成效的fruit(水果)+ful(全)---很多水果, 丰收了"
fulfill,"vt. 履行，实现，完成（计划等）ful(全)+fill(填充)----全部填充了, 完成"
fundamental,adj.基本的，基础的n. 基本原则，基本原理
funding,用发行长期债券的方法来收回短期债券
gather,n.集合，聚集vi.集合，聚集，渐增，化脓father 把我们家人都gather起来
gaze,v.盯，凝视n. 凝视
generate,vt. 产生，发生
gloomy,adj. 黑暗的，阴沉的，令人沮丧的，阴郁的
gossip,n.闲话，闲谈gossiper是长舌妇的意思，能记住吧，最讨厌的人
grab,v.抢夺，夺取，
gradually,adv.逐渐地
grant,vt.同意，准予，承认（某事）~
grave,n. 墓穴，坟墓adj. 严重的，（颜色）黯淡的，
guidance,n.指导，领导
halt,n. 停止，暂停，中断vt.使停止，使立定
hamper,v.妨碍，牵制
hardship,"n.困苦，艰难，辛苦背单词的过程是一个hardship, 但之后便会是harvest"
hassle,n. 激战vi.争论
hazard,n.冒险，危险，冒险的事vt.冒…的危险，赌运气，
heal,v.治愈，医治，结束
hemisphere,n.半球hemi(半)+sphere(球体)-----半球
horrible,adj.可怕的，恐怖的，讨厌的
hostile,adj.敌对的，敌方的n.敌对
ideal,"n.理想，adj.理想的，完美的，想像的，唯心论的I我+deal(处理)----任何事情都我来处理, 太理想了"
identical,adj.同一的；同样的
ignore,vt.不理睬，忽视，[律]驳回诉讼ig(一个)+no(不)+re(返回)---一个短信都不回→不理睬
illuminate,vt.照明，照亮，阐明，说明，以灯火装饰vi.照明il(进入)+lumin(光)+ate-动词后缀----进入灯光——照明
illustrate,vt.举例说明，图解，阐明，加插图于vi.举例
imitate,vt. 模仿，仿效，仿制，仿造v.模仿im（想象）+it+ate动词后缀---想象它，模仿，intimidate---表示恐吓，in+timid（胆小的）+ate
immigrant,adj.移民的，移居的，（从国外）移来的n.移民，侨民im（里面）+migrant----移到里面来
immune,adj.免疫的AIDS(Acquired Immune Deficiency Syndrome)
impact,n. 碰撞，撞击，冲击，冲突，影响，效果vt. 挤入，撞击，压紧，im（=in)+pact(act)----在里面行动，挤入并产生影响
impartial,"adj.公平地, 无私地im（无）+partial（有偏见的）---没有偏见的"
imperative,n. 命令，诫命，需要，规则，祈使语据adj. 命令的，强制的，紧急的imper（命令）+ative----强制的
impetus,n.推动力，促进
implication,n.牵连，含意，暗示来自于动词imply
in advance,adv.预先
in spite of,adv. 不管，尽管
in terms of,adv.根据，按照，在…方面
indentify,v.认出；识别；鉴定v.确定
individual,n. 个人，个体adj.个别的，单独的，个人的
induce,vt.劝诱，促使，导致，引起，感应in（里面）+duce（导入）----引起
indulge,1v.纵容indul(印度)+ge(歌)?印度的歌是很容易让人放纵，纵容的
inevitable,adj.不可避免的，必然的in（不）+evit（逃避）+able 不能逃避的
infancy,n.幼年
influence,n.影响，感化，势力，有影响的人（或事）vt.影响，改变
infusion,n. 灌输
ingredient,n. 成分，因素
inhabitant,n.居民，居住者
inherit,"vt. 继承, 遗传所得"
initiate,vt.开始，发动，传授v.开始，发起initiate 在里面开始吃——>开始
initiative,n.主动
innate,adj.先天的，天生的in(里面)+nate(天生的)------在里面的先天的
innovation,"n.改革，创新simplified breeds innovation简单孕育创新, "
insanity,"n.精神错乱，疯狂，愚顽in(不)+sane(健全的)不健全的, 精神错乱"
insight,"n.洞察力，见识in(里面)+sight(视野)-----内在视野, 见识"
inspire,"vt.吸（气），鼓舞，感动，激发，启示vi.吸入，启发灵感in(里面)+spire(气)-----呼进一口气, 受到鼓舞"
instrument,n. 工具，手段，器械，器具
insurance,n. 保险，保险单，保险业，保险费
integrate,"vt.使成整体，使一体化，求…的积分v.积分We?integrate,?you?communicate我们集大成，您超越自我。（三菱电工）
"
integrity,n.正直，诚实，完整，完全，完整性in(未) +teg(touch)碰 +rity-后缀----integrity-完整(没有碰过)
intellectual,adj. 智力的，有智力的n.知识分子intel(脑力的)
intelligence,n.智力，聪明，智能intel（英特尔）+ligen（里根）+ce----intel公司和里根都是很有智慧的
intensive,adj.强烈的，精深的，透彻的n.加强器
intent,"n.目的, 意图adj.专心的, 决心的"
interference,n.冲突，干涉inter（中间）+fer（分开）+ence---中间分开----干涉
interpret,v.解释，说明，口译，通译，inter（中间）+pret（解释，说）----解释，说明
invade,vt.侵入; 侵略(别国); 侵犯(主权等)in（里面）+vade（走）----走到里面---侵略
investigate,v.调查，研究
involve,vt.包括，笼罩，潜心于，使陷于
irritate,vt.激怒，使急躁v.刺激ir（不）+rit（笑）+ate---不笑的---激怒了
isolate,"vt.使隔离，使孤立，使绝缘，离析n.隔离种群I(我)+so(如此,那么)+late(迟到,晚)——如果你每天都迟到,来得那么晚,那么你会被别人孤立"
judge,n.法官，审判员，裁判员，鉴赏家，鉴定人vt. 审理，鉴定，判断，判决，
junction,n. 连接，接合，交叉点，汇合处
jungle,n.丛林n.生死关头
justify,v. 证明…是正当的
kin,n. 家属，（集合称），亲戚，同族，血缘关系，adj.有亲属关系的，性质类似的
lamp,n.灯vt.照亮
landscape,n.风景，山水画，地形，前景v.美化
lawsuit,n.诉讼
leakage,n.漏，泄露，渗漏leak(泄露)+age----漏
legacy,n. 遗赠（物），遗产
legitimate,adj.合法的，合理的，正统的，v.合法legitim(法律的）+ate---合法的
liability,"n.责任，义务，倾向，债务，负债li '赖'+ability(能力)-----可依赖的能力, 责任, 义务"
liberal,n. 自由主义者，adj. 慷慨的，宽大的，不拘泥的
literature,"n.文学（作品），文艺，著作，文献liter(文字,字母)+ature"
lobby,n.大厅，休息室，vi. 游说议员，经常出入休息室
loyalty,n. 忠诚，忠心
luxury,n. 华贵
magnify,vt.放大，扩大，赞美，夸大，夸张vi.有放大能力
make sense,v.有意义
malicious,adj.怀恶意的，恶毒的mal表示坏的
managerial,adj.管理的
manipulate,vt.（熟练地）操作，操纵（人或市价、市场）vt.(熟练地）操作，巧妙地处理
manufacture,vt. 制造，加工n.制造，制造业，产品
marathon,n.[体]马拉松赛跑，耐力的考验
maritime,adj.海上的，海事的，海运的，海员的marine航海
masculine,adj. 男性的，男子气概的n. 男子，男孩来自于词根ine表示什么的倾向
mastery,n.掌握
matter-of-fact,adj.实质的，事务性的，平常的
maturity,n. 成熟，完备，（票据）到期来自于形容词mature成熟的，premature就是早熟的意思 
meaningful,adj.意味深长的meaning有意义的
measure,v.尺寸，度量器，两度标准，方法，测量，v.测量，估量，分派，权衡，调节
mere,adj.仅仅的，起码的，纯粹的
merit,n.优点，价值v.有益于
meteorite,n. 陨星
migrant,"n.候鸟n.移民，侨民im(表示进入)即immigrant是(从别国移居进来的)移民,加了前缀em(表示出去)即emmigrant是(移居到国外的)移民"
mild,adj. 温和的，温柔的，淡味的，轻微的，适度的温柔的(mild)m颠倒过来就是野蛮(wild) 
military,adj. 军事的，军用的
minority,n.少数，少数民族majority大多数
mixture,n. 混合，混合物，混合剂
mobility,n.活动性，灵活性，迁移率，机动性mobile phone移动手机，够灵活的
modest,"adj,谦虚的,适度的mod(模式)+est最佳的模式是最适度的"
modify,vt.更改，修改v.修改
mood,n.心情，情绪，语气，状态
moral,adj. 道德上的，精神的n.道德a+moral不道德的
motivate,"v.激发motive是动机, motivate motive激发动机"
muscle,n.肌肉，臂力，
mystery,n. 神秘，神秘的事物
myth,n.神话，虚构的故事，荒诞的说法
nasty,adj.肮脏的，令人厌恶的，下流的，凶相的，威胁的
navigation,n.航海，航空，导航，领航
negative,n.否定，负数，底片adj.否定的，消极的，负的，阴性的相对的词positive
neglect,vt.忽视，疏忽，漏做n.忽视，疏忽，漏做
neutral,n.中立者，中立国，非色彩，齿轮的空档adj.中立的，中立国的，中性的，无确定性质的
nonetheless,adv.虽然如此，但是
nuclear,adj.[核]核子的，原子能的，核的，中心的
obedient,adj.服从的，孝顺的
objective,n.目标，目的，宾格adj.客观的，[语法]宾格的
oblige,"vt.迫使，责成v 感谢, 感激ob(to)+lig(捆)-----去捆在一起, 迫使"
observe,vt.观察，观测，遵守，评述
obsession,"n.迷住，困扰ob(to)+session(会议)-----一开会, 就特别的困扰"
obstacle,n.障碍，妨碍物
opponent,adj.对立的，对抗的n.对手，反对者
optimistic,adj. 乐观的
ordinary,adj.平常的，普通的，平凡的n.[律]推事Ordinary miracle 平凡的奇迹
organ,n.器官n.元件
orient,n. 东方，东方诸国（自地中海以东各国）adj.东方的，上升的，灿烂的新东方
origin,n.起源，由来，起因，出身，传统
overlook,vt.俯瞰 ，耸出，远眺，n.眺望，俯瞰中的景色我们高高在上，俯视有罪的人，我们如此宽容，忽视他们的罪过
overwhelm,vt.淹没，覆没，受打击，制服，压倒
paradox,n.似非而是的论点，自相矛盾的话para(并列，超越）+dox（意见）----并列的意见
parallel,adj.平行的，相同的，类似的，并联的n.平行线，平行面，类似，相似物para（并列）+llel-----平行的
parameter,n.参数，参量meter表示计量的意思
participant,1n.参与者，共享者.adj.参与的
particular,n.细节，详细adj.特殊的，特别的，独特的，详细的，精确的
passage,n.通过，经过，通道，通路段落
patch,n.片，补缀，碎片，斑纹，斑点，眼罩vt.修补，补缀，掩饰，平息
pattern,n.模范，式样，模式，样品，格调，图案vt.模仿，仿造，以图案装饰
payoff,n.发工资，付清，盈利，报应，贿赂adj.决定性的
perceive,vt.察觉v.感知，感到，认识到per（全部）+ceive（抓住）-----全部抓了---感觉到了
performance,n.履行，执行，成绩，性能，表演，演奏来自于动词perform表演，表现
permanent,"adj.永久的，持久的per（一直，完全）+man（手）+ent一直用手拿着的,没有放手的,注意:“持久”的“持”就是用手的意思"
persist,vi.坚持，持续per（完全）+sist（站立）----完全站立坚持
pessimistic,adj.悲观的，厌世的相对的词optimistic
physically,adv.身体上地在文章中当做，实际的，事实上去理解
politician,n.政治家，政客
pollute,vt.弄脏，污染
possession,"n.有, 所有, 拥有; 占有"
postpone,"vt.推迟，使延期，延迟post(往后)+pon(放)----向后放, 推迟"
potential,adj.潜在的，可能的，势的，位的n.潜能，潜力，电压
poverty,n.贫穷，贫困，贫乏，缺少
practical,adj.实际的，实践的，实用的，有实践经验的
praise,vt.赞扬，歌颂，赞美n.赞扬，赞美，荣耀，称赞
precedent,n.先例
precise,adj.精确的，准确的n.精确pre（前面）+cise（切）---在前面切，知道切多少---精确的
predict,v.预知，预言，预报pre（前）+dict（说）---提前说---预言
predominate,vt.掌握，控制，支配，vi.统治，成为主流，支配，占优势pre（前）+dominate（支配）---提前掌控----占优势
preface,n.序文，绪言，前言vi.作序，写前言pre（前面）+face----前言
pregnant,adj. 怀孕的，重要的，富有意义的，孕育的pre+gnant（孕育）---怀孕
prejudice,n.偏见，成见，损害，侵害v.损害Pride and Prejudice 傲慢与偏见
premium,n.额外费用，奖金，奖赏，保险费
pressure,n.压，压力，电压，压迫，强制，紧迫来自于词根press压
presume,"vt.假定，假设，认为pre（提前）+sume（拿取）----假设，同词根的有resume, consume,assume"
prevalence,n.流行来自于动词prevail流行
prevent,v.防止，预防
